id,x,y,betweenness,closeness,degree,katz,current flow,harmonic,eigenvector,efficiency,straightness
199,212.4845263810298,-450.9966589578702,0.04029835284367554,0.10510813859493992,0.015306122448979591,0.07092327681155808,0.0019168619161970166,30.363843996990283,0.06978462636035415,0.01369517095920137,0.004080166835998267
200,211.0765526375503,-451.87664254754486,0.014814047446389722,0.1043563192393093,0.02040816326530612,0.0789781048512971,0.002024778452795816,31.524451159435692,0.10127987786496595,0.009950034658224638,0.004091400174795014
200,238.9932090722399,-497.7336381638431,0.014814047446389722,0.1043563192393093,0.02040816326530612,0.0789781048512971,0.002024778452795816,31.524451159435692,0.10127987786496595,0.009950034658224638,0.004091400174795014
201,188.64611235468675,-465.2622415658029,0.011654407956075832,0.09737117472852913,0.02040816326530612,0.07862407951447938,0.001969397184612746,29.76559431766391,0.06861316497479512,0.006063689998097439,0.003992788374582597
201,162.7513123199445,-420.0968926679967,0.011654407956075832,0.09737117472852913,0.02040816326530612,0.07862407951447938,0.001969397184612746,29.76559431766391,0.06861316497479512,0.006063689998097439,0.003992788374582597
202,188.64611235468675,-465.2622415658029,0.009116336890085983,0.09393351673544245,0.017857142857142856,0.07464123621974933,0.0019035727030865643,28.08407362172758,0.05784550545461355,0.006081741393196793,0.004089543539388515
202,158.0082414398221,-483.489585209206,0.009116336890085983,0.09393351673544245,0.017857142857142856,0.07464123621974933,0.0019035727030865643,28.08407362172758,0.05784550545461355,0.006081741393196793,0.004089543539388515
203,188.64611235468675,-465.2622415658029,0.011809800062156843,0.09782909815645241,0.02040816326530612,0.07909270213249528,0.001962562236089028,29.86602581630766,0.08024382025363791,0.006635356755236436,0.0040886094537563936
203,214.35366856134794,-511.8133755986386,0.011809800062156843,0.09782909815645241,0.02040816326530612,0.07909270213249528,0.001962562236089028,29.86602581630766,0.08024382025363791,0.006635356755236436,0.0040886094537563936
204,162.7513123199445,-420.0968926679967,0.0076142131979695426,0.09277534328312813,0.017857142857142856,0.07425197105594193,0.00190589144837972,27.917757051730668,0.05066770681669647,0.006393375258277251,0.003916432507754191
204,135.65210298126073,-434.5498043152947,0.0076142131979695426,0.09277534328312813,0.017857142857142856,0.07425197105594193,0.00190589144837972,27.917757051730668,0.05066770681669647,0.006393375258277251,0.003916432507754191
205,135.65210298126073,-434.5498043152947,0.016678752719361856,0.08933768529004146,0.015306122448979591,0.07026912776121189,0.0018400669668535382,26.236236355794336,0.0399000472965149,0.006411426653376605,0.00401318767256011
205,158.0082414398221,-483.489585209206,0.016678752719361856,0.08933768529004146,0.015306122448979591,0.07026912776121189,0.0018400669668535382,26.236236355794336,0.0399000472965149,0.006411426653376605,0.00401318767256011
206,158.0082414398221,-483.489585209206,0.016057184295037812,0.08972327907547903,0.015306122448979591,0.07034551435689197,0.0018285593275253254,26.343447440745194,0.04411929431095386,0.006775838957062378,0.0041155807871912
206,177.04236435914015,-532.9329817508317,0.016057184295037812,0.08972327907547903,0.015306122448979591,0.07034551435689197,0.0018285593275253254,26.343447440745194,0.04411929431095386,0.006775838957062378,0.0041155807871912
207,238.9932090722399,-497.7336381638431,0.01144721848130115,0.1016877820830975,0.02040816326530612,0.07969195911050744,0.002000217043944242,31.006372145880334,0.10341752226739842,0.0085810195940927,0.004098885268192365
207,214.35366856134794,-511.8133755986386,0.01144721848130115,0.1016877820830975,0.02040816326530612,0.07969195911050744,0.002000217043944242,31.006372145880334,0.10341752226739842,0.0085810195940927,0.004098885268192365
208,238.9932090722399,-497.7336381638431,0.02159950274526054,0.1034523855270581,0.02040816326530612,0.08019962881698847,0.002024743155039177,31.527849279857474,0.12126510422397858,0.00899101623388796,0.004109637229345379
208,262.9287627113921,-540.6768373399691,0.02159950274526054,0.1034523855270581,0.02040816326530612,0.08019962881698847,0.002024743155039177,31.527849279857474,0.12126510422397858,0.00899101623388796,0.004109637229345379
209,214.35366856134794,-511.8133755986386,0.005438723712835387,0.09361886049648899,0.017857142857142856,0.07479698026963794,0.001887548860527789,28.125399635325273,0.06651760910997823,0.007329454319102021,0.004114646701559078
209,177.04236435914015,-532.9329817508317,0.005438723712835387,0.09361886049648899,0.017857142857142856,0.07479698026963794,0.001887548860527789,28.125399635325273,0.06651760910997823,0.007329454319102021,0.004114646701559078
